Группа проверок/модуль,Приоритет,Окружение 1,Окружение 2,Окружение 3,Баги
"Страница ""Страхование ипотеки""",,Google Chrome Версия 108.0.5359.99,Mozilla Firefox 108.0.2 (64-разрядный),Microsoft Edge Версия 109.0.1518.49,
UI,,,,,
Логотип и наименование компании вверху страницы,Medium,Passed,Passed,Passed,
Заголовок,Medium,Passed,Passed,Passed,
Изображение с наименованиями банков,Medium,Passed,Passed,Passed,
"Кнопки ""Имущество"", ""Жизнь"", ""Имущество+Жизнь""",High,Passed,Passed,Passed,
"Поля ""Банк"" и ""Пол"" с выпадающими списками",High,Passed,Passed,Passed,
"Поле ""Остаток кредита""",High,Passed,Passed,Passed,
"Поле ""Дата рождения"" с календарем с выпадающим списком",High,Passed,Passed,Passed,
"Чекбокс ""Титульное страхование""",High,Passed,Passed,Passed,
Иконка с вопросом,Medium,Passed,Passed,Passed,
Поп-ап с текстом про титульное страхование,Medium,Passed,Passed,Passed,
"Кнопка ""Посмотреть предложения""",High,Passed,Passed,Passed,
Курсор поинтер,Low,Passed,Passed,Passed,
Курсор текста,Low,Passed,Passed,Passed,
"Поп-ап ""Остаток долга по ипотеке""",Low,Passed,Passed,Passed,
"Поп-ап ""Дата рождения""",Low,Passed,Passed,Passed,
Просмотр предложений,,,,,
Страхование имущества,High,Passed,Passed,Passed,
Страхование жизни,High,Passed,Passed,Passed,
Страхование имущества + жизни,High,Passed,Passed,Passed,
Титульное страхование,High,Passed,Passed,Passed,
"Поле ""Банк""",,,,,
Выбрать каждое значение из выпадающего списка (32 шт),High,Passed,Passed,Passed,
"Поле ""Пол""",,,,,
Выбрать мужской,High,Passed,Passed,Passed,
Выбрать женский,High,Passed,Passed,Passed,
"Поля ""Остаток кредита"" и ""Дата рождения""",,,,,
Остаток кредита,,,,,
"Валидация поля ""Остаток кредита"":      ",,,,,
буквы,High,Passed,Passed,Passed,
символы,High,Passed,Passed,Passed,
в диапазоне от 100 000 до 30 000 000,High,Passed,Passed,Passed,
100 000,High,Passed,Passed,Passed,
30 000 000,High,Passed,Passed,Passed,
99 999,High,Passed,Passed,Passed,
100 001,High,Passed,Passed,Passed,
29 999 999,High,Passed,Passed,Passed,
30 000 001,High,Passed,Passed,Passed,
пустое поле,High,Passed,Passed,Passed,
Дата рождения,,,,,
"Валидация поля ""Дата рождения"":",,,,,
буквы,High,Passed,Passed,Passed,
символы,High,Passed,Passed,Passed,
заполнение нулями,High,Passed,Passed,Passed,
в диапазоне от 1948 (не старше 75 лет) по 2005 (не младше 18 лет),High,Passed,Passed,Passed,
любая дата в 1948,High,Passed,Passed,Passed,
любая дата в 2005,High,Passed,Passed,Passed,
любая дата в 1947,High,Passed,Passed,Passed,
любая дата в 1949,High,Passed,Passed,Passed,
любая дата в 2006,High,Passed,Passed,Passed,
любая дата в 2004,High,Passed,Passed,Passed,
пустое поле,High,Passed,Passed,Passed,
Календарь:,,,,,
граничные значения,Medium,Failled,Failled,Failled,https://docs.google.com/spreadsheets/d/1iITekXVlq0mSR6GJ5w1-hQirJl9DekDMAL5xlb3yVnM/edit#gid=1003871472&range=A2:A3                                                      
выбор месяца и года с помощью стрелок,Medium,Passed,Passed,Passed,
выбор месяца и года из выпадающего списка,Medium,Failled,Failled,Failled,https://docs.google.com/spreadsheets/d/1iITekXVlq0mSR6GJ5w1-hQirJl9DekDMAL5xlb3yVnM/edit#gid=1003871472&range=A4:A5