Группа проверок/модуль,Приоритет,Статус
"Дровер ""Создание проекта""",,
Создание проекта,,
C заполнением всех полей,High,
C заполнением обязательных полей,High,
C заполнением необязательных полей,Medium,
"С заполнением одного обязательного поля ""Название*""",High,
"С заполнением одного обязательного поля ""Дата начала*""",High,
Без заполнения полей,Medium,
"Отменить создание проекта через кнопку ""Отмена""",High,
Отменить создание проекта через закрытие дровера,High,
"Валидация поля ""Название""",,
"буквенные значения, кириллица (с учетом регистра или без учета регистра)",High,
"буквенные значения, латиница (с учетом регистра или без учета регистра)",High,
буквенно-цифровые значения,High,
специальные символы,Medium,
символы пунктуации,Medium,
валютные символы,Medium,
пустое значение,High,
"пробелы в начале, в конце",Medium,
граничные значения 3 символа,High,
граничные значения 4 символа,High,
граничные значения 5 символов,High,
1 символ,Medium,
набор текста с клавиатуры,High,
вставка текста ,Medium,
"Валидация поля ""Описание проекта""",,
"буквенные значения, кириллица (с учетом регистра или без учета регистра)",High,
"буквенные значения, латиница (с учетом регистра или без учета регистра)",High,
буквенно-цифровые значения,High,
специальные символы,Medium,
символы пунктуации,Medium,
валютные символы,Medium,
пустое значение,High,
"пробелы в начале, в конце",Medium,
граничные значения 239 символов,High,
граничные значения 240 символов,High,
граничные значения 241 символ ,High,
1 символ,Medium,
набор текста с клавиатуры,High,
вставка текста ,Medium,
"Поле ""Дата начала""",,
значение по умолчанию (текущая дата),High,
max дата в календаре,Low,
min дата в календаре,Low,
значение в диапазоне (max; min),Low,
min-1,Low,
max+1,Low,
дата ранее текущей (в прошлом),Low,
"значение ""0""",Low,
пустое значение,High,
нули во всем поле,Low,
нули в году,Low,
нули в месяце,Low,
нули в дате,Low,
9-ки во всем поле,Low,
9-ки в году,Low,
9-ки в месяце,Low,
9-ки в дате,Low,
"другой тип даты, иного формата (USA, UK..)",Low,
"установка даты в иной локали (USA, UK..) ",Low,
текстовое значение,High,
специальные символы,Low,
вещественные числа,Low,
отрицательные числа,Low,
"пробелы в начале, в конце",Low,
набор даты с клавиатуры,High,
вставка даты,Low,
некорректная дата (30.02.2023),High,
Выпадающий календарь,,
Выбор даты вручную,High,
Выбор даты с помощью стрелок на клавиатуре,Low,
"Поле ""Дата окончания""",,
значение по умолчанию (текущая дата),High,
max дата в календаре,Low,
min дата в календаре,Low,
значение в диапазоне (max; min),Low,
min-1,Low,
max+1,Low,
дата ранее текущей (в прошлом),Low,
"значение ""0""",Low,
пустое значение,High,
нули во всем поле,Low,
нули в году,Low,
нули в месяце,Low,
нули в дате,Low,
9-ки во всем поле,Low,
9-ки в году,Low,
9-ки в месяце,Low,
9-ки в дате,Low,
"другой тип даты, иного формата (USA, UK..)",Low,
"установка даты в иной локали (USA, UK..) ",Low,
текстовое значение,High,
специальные символы,Low,
вещественные числа,Low,
отрицательные числа,Low,
"пробелы в начале, в конце",Low,
набор даты с клавиатуры,High,
вставка даты,Low,
некорректная дата (30.02.2023),High,
Выпадающий календарь,,
Выбор даты вручную,High,
Выбор даты с помощью стрелок,Low,
Отображение элементов UI,,
"Заголовок ""Создание проекта""",High,
Значок закрытия дровера,High,
"Поле ""Название"" со значком *",High,
"Поле ""Описание проекта""",High,
"Поле ""Дата начала"" со значком *",High,
"Поле ""Дата окончания""",High,
"Иконка с календарем в поле ""Дата начала""",High,
"Иконка с календарем в поле ""Дата окончания""",High,
Значок * в обязательных полях,High,
"Текущая дата в поле ""Дата начала""",High,
"Кнопка ""Сохранить"" (неактивная по умолчанию)",High,
"Кнопка ""Отмена""",High,
Значок * обязательного поля,High,