Группа проверок/модуль,Приоритет,Окружение 1,Окружение 2,Баги
"Установка, удаление и запуск",,IPhone Xr                     IOS 16.2,POCO X4 Pro 5G Android 12 SKQ 1.211006.001,
Установка приложения,High,,Passed,
Удаление приложения,Medium,,Passed,
Запуск приложения через моб. интернет,Medium,,Passed,
Запуск приложения через Wi-fi,Medium,,Passed,
Запуск без интернета,Low,,Passed,
Стартовая страница,,,,
UI,,,,
Текущая дата,High,,Passed,
Логотип в центре экрана,Medium,,Passed,
Надпись под логотипом,Medium,,Passed,
"Кнопка ""добавить""",Medium,,Passed,
Иконка добавления привычки в правом верхнем углу,Medium,,Passed,
Логика работы,,,,
"Добавление привычки через кнопку ""добавить""",High,,Passed,
Добавление привычки через иконку в правом верхнем углу,High,,Passed,
Страница с привычками,,,,
UI,,,,
Бесплатные привычки,,,,
9 привычек,,,Passed,
Иконки ,,,Passed,
Названия,,,Passed,
"""+"" для добавления привычки",,,Passed,
Галочка для добавленных привычек,,,Passed,
Премиум привычки,,,,
4 привычки,,,Passed,
Иконки,,,Passed,
Названия,,,Passed,
"""+"" для добавления привычки",,,Passed,
Галочка для добавленных привычек,,,Passed,
Создание привычки,,,Passed,
Oriflame привычки,,,,
3 привычки,,,Passed,
Иконки,,,Passed,
Названия,,,Passed,
"""+"" для добавления привычки",,,Passed,
Галочка для добавленных привычек,,,Passed,
Wellness рецепты,,,Passed,
Лекции и тренировки,,,Passed,
Логика работы,,,,
Добавление бесплатной привычки ,,,Passed,
Добавление премиум привычки,,,Passed,
Добавление oriflame ,,,Passed,
Удаление бесплатной привычки,,,Passed,
Удаление премиум привычки,,,Passed,
Удаление oriflame,,,Passed,
Платежи,,,,
Приобретение подписки premium,,,Skipped,
Использование подарочкой карты,,,,
Использование промокода,,,,
Приобретение подписки oriflame,,,Skipped,
Использование подарочкой карты,,,,
Использование промокода,,,,
Стартовая страница с текущими привычками,,,,
UI,,,,
Текущая дата,,,Passed,
Карточка привычки,,,Passed,
Список привычек,,,Passed,
"Карточка привычки ""Тренировка""",,,,
UI,,,,
Наименование привычки,,,Passed,
Иконка в центре экрана,,,Passed,
Текущая дата,,,Passed,
Цель,,,Passed,
Шестеренка для редактирования цели,,,Passed,
Счетчик прогресса,,,Passed,
Кнопки прогресса,,,Passed,
"Кнопка ""+ добавить""",,,Passed,
Логика работы,,,,
Изменить цель,,,,
Пустой прогресс,,,Passed,
Не пустой прогресс,,,Passed,
Добавление прогресса,,,,
5%,,,Passed,
10%,,,Passed,
"Валидация поля ""Добавить значение"":",,,,
буквы,,,Passed,
символы,,,Passed,
граничные значения,,,Failed,https://docs.google.com/spreadsheets/d/1a1GqptJZxN1ZF35LJS8Uw3LIfRVafJ6-GLiqd1a9BCU/edit#gid=916957281&range=A2:A7
заполнение нулями,,,Passed,
10 цифр,,,Passed,
1 цифра,,,Passed,
пустое поле,,,Passed,
Удаление прогресса,,,,
Удаление минут,,,Passed,
Выполнение привычки,,,,
50%,,,Passed,
100%,,,Passed,
1 день подряд,,,Passed,
Несколько дней подряд,,,Passed,